;dataset                |source                  |source_type         |speaker_name                    |speaker_id|duration_hrs
Clipper_MLP             |My Little Pony          |TV Show             |Spitfire                        |51        |  0.1492
Clipper_MLP             |My Little Pony          |TV Show             |Sapphire Shores                 |52        |  0.0239
Clipper_MLP             |My Little Pony          |TV Show             |Photo Finish                    |54        |  0.0350
Clipper_MLP             |My Little Pony          |TV Show             |Braeburn                        |55        |  0.0260
Clipper_MLP             |My Little Pony          |TV Show             |Soarin                          |56        |  0.0388
Clipper_MLP             |My Little Pony          |TV Show             |Gilda                           |58        |  0.0791
Clipper_MLP             |My Little Pony          |TV Show             |Discord                         |59        |  1.0107
Clipper_MLP             |My Little Pony          |TV Show             |A. K. Yearling                  |60        |  0.1239
Clipper_MLP             |My Little Pony          |TV Show             |Ahuizotl                        |61        |  0.0401
Clipper_MLP             |My Little Pony          |TV Show             |Cranky                          |63        |  0.0536
Clipper_MLP             |My Little Pony          |TV Show             |Iron Will                       |64        |  0.0903
Clipper_MLP             |My Little Pony          |TV Show             |Mrs. Cake                       |65        |  0.0190
Clipper_MLP             |My Little Pony          |TV Show             |Chrysalis                       |70        |  0.1469
Clipper_MLP             |My Little Pony          |TV Show             |Pipsqueak                       |71        |  0.0335
Clipper_MLP             |My Little Pony          |TV Show             |Fancy Pants                     |72        |  0.0557
Clipper_MLP             |My Little Pony          |TV Show             |Miss Harshwhinny                |73        |  0.0528
Clipper_MLP             |My Little Pony          |TV Show             |Sombra                          |74        |  0.0495
Clipper_MLP             |My Little Pony          |TV Show             |Babs Seed                       |75        |  0.0295
Clipper_MLP             |My Little Pony          |TV Show             |Snips                           |76        |  0.0428
Clipper_MLP             |My Little Pony          |TV Show             |Lightning Dust                  |78        |  0.0646
Clipper_MLP             |My Little Pony          |TV Show             |Fleetfoot                       |79        |  0.0191
Clipper_MLP             |My Little Pony          |TV Show             |Cheese Sandwich                 |80        |  0.0626
Clipper_MLP             |My Little Pony          |TV Show             |Tirek                           |81        |  0.1548
Clipper_MLP             |My Little Pony          |TV Show             |Mane-Iac                        |82        |  0.0345
Clipper_MLP             |My Little Pony          |TV Show             |Party Favor                     |83        |  0.0308
Clipper_MLP             |My Little Pony          |TV Show             |Double Diamond                  |84        |  0.0299
Clipper_MLP             |My Little Pony          |TV Show             |Sugar Belle                     |85        |  0.0508
Clipper_MLP             |My Little Pony          |TV Show             |Prince Rutherford               |87        |  0.0924
Clipper_MLP             |My Little Pony          |TV Show             |Minuette                        |89        |  0.0410
Clipper_MLP             |My Little Pony          |TV Show             |Moon Dancer                     |92        |  0.0422
Clipper_MLP             |My Little Pony          |TV Show             |Sassy Saddles                   |93        |  0.0868
Clipper_MLP             |My Little Pony          |TV Show             |Coco Pommel                     |97        |  0.0320
Clipper_MLP             |My Little Pony          |TV Show             |Spoiled Rich                    |98        |  0.0232
